champion_name,tier_number,role,winrate,pickrate
Ahri,1,MID,52.49%,14.70%
Jinx,1,ADC,51.86%,15.62%
Kha'Zix,1,JUNGLE,51.58%,11.79%
Nami,1,SUPPORT,52.01%,15.29%
Ornn,1,TOP,52.60%,5.87%
Caitlyn,2,ADC,50.56%,16.66%
Kayle,2,TOP,52.95%,3.87%
Thresh,2,SUPPORT,51.38%,13.69%
Xin Zhao,2,JUNGLE,51.52%,6.77%
Yasuo,2,MID,50.35%,9.00%
Ashe,3,ADC,51.98%,7.41%
Briar,3,JUNGLE,51.96%,4.85%
Leona,3,SUPPORT,51.87%,7.52%
Malzahar,3,MID,51.42%,6.18%
Singed,3,TOP,53.38%,3.01%
Braum,4,SUPPORT,51.68%,7.46%
Ekko,4,JUNGLE,51.58%,5.66%
Jhin,4,ADC,50.63%,14.28%
Malphite,4,TOP,51.48%,6.08%
Xerath,4,MID,51.96%,4.75%
Graves,5,JUNGLE,50.76%,8.70%
Miss Fortune,5,ADC,51.56%,8.06%
Sett,5,TOP,51.47%,5.50%
Sona,5,SUPPORT,52.35%,5.22%
Twisted Fate,5,MID,51.53%,5.38%
Katarina,6,MID,50.77%,7.08%
Milio,6,SUPPORT,51.58%,7.41%
Rammus,6,JUNGLE,53.44%,1.68%
Shen,6,TOP,52.11%,3.89%
Smolder,6,ADC,51.37%,8.56%
Karma,7,SUPPORT,50.45%,10.32%
Rek'Sai,7,JUNGLE,52.67%,2.48%
Viktor,7,MID,50.92%,6.61%
Xayah,7,ADC,51.86%,5.98%
Zaahen,7,TOP,50.94%,5.92%
Diana,8,MID,51.96%,3.65%
Seraphine,8,SUPPORT,51.81%,4.66%
Sion,8,TOP,51.46%,4.76%
Veigar,8,ADC,53.90%,1.55%
Zaahen,8,JUNGLE,51.19%,5.37%
Kai'Sa,9,ADC,49.69%,18.19%
Mordekaiser,9,TOP,51.07%,5.49%
Shaco,9,JUNGLE,51.59%,4.21%
Soraka,9,SUPPORT,51.66%,4.96%
Veigar,9,MID,51.80%,4.33%
Aatrox,10,TOP,50.51%,7.16%
Fizz,10,MID,51.80%,4.08%
Lee Sin,10,JUNGLE,50.02%,10.77%
Nautilus,10,SUPPORT,50.22%,10.91%
Swain,10,ADC,53.07%,2.03%
Fiddlesticks,11,JUNGLE,52.37%,2.77%
Lulu,11,SUPPORT,50.16%,10.58%
Urgot,11,TOP,52.40%,2.77%
Vayne,11,ADC,51.26%,5.98%
Zed,11,MID,50.35%,6.69%
Dr. Mundo,12,JUNGLE,51.67%,3.81%
Gangplank,12,TOP,51.12%,5.19%
Janna,12,SUPPORT,51.65%,3.94%
Sivir,12,ADC,51.17%,6.47%
Vex,12,MID,52.45%,2.99%
Akali,13,MID,50.23%,6.48%
Bard,13,SUPPORT,50.56%,6.71%
Garen,13,TOP,51.01%,5.41%
Kog'Maw,13,ADC,52.99%,2.03%
Aurelion Sol,14,MID,52.02%,3.21%
Jarvan IV,14,JUNGLE,50.73%,5.90%
Nasus,14,TOP,51.18%,4.48%
Pyke,14,SUPPORT,50.57%,5.73%
Samira,14,ADC,51.18%,5.81%
Darius,15,TOP,50.34%,6.13%
Rakan,15,SUPPORT,51.17%,4.41%
Twitch,15,ADC,50.92%,6.08%
Viego,15,JUNGLE,49.29%,12.14%
Zoe,15,MID,51.71%,3.59%
Anivia,16,MID,51.61%,3.35%
Brand,16,ADC,54.10%,0.88%
Diana,16,JUNGLE,50.77%,4.94%
Jax,16,TOP,50.03%,6.42%
Zilean,16,SUPPORT,51.75%,3.01%
Irelia,17,TOP,50.65%,4.26%
Lux,17,MID,51.34%,3.64%
Master Yi,17,JUNGLE,50.80%,4.71%
Morgana,17,SUPPORT,50.84%,4.46%
Nilah,17,ADC,52.90%,1.68%
Blitzcrank,18,SUPPORT,50.60%,5.34%
Ekko,18,MID,51.25%,3.54%
Evelynn,18,JUNGLE,51.98%,2.37%
Ezreal,18,ADC,48.69%,17.99%
Renekton,18,TOP,50.16%,5.87%
Kled,19,TOP,52.40%,1.79%
Lucian,19,ADC,49.83%,8.30%
Naafiri,19,MID,51.40%,2.82%
Senna,19,SUPPORT,50.60%,5.46%
Vi,19,JUNGLE,50.40%,6.02%
Annie,20,MID,52.33%,2.10%
Brand,20,SUPPORT,51.35%,2.60%
Camille,20,TOP,51.35%,2.92%
Elise,20,JUNGLE,51.76%,2.46%
Ziggs,20,ADC,52.18%,1.58%
Dr. Mundo,21,TOP,50.41%,4.08%
Hwei,21,MID,51.11%,3.60%
Kayn,21,JUNGLE,50.51%,4.92%
Vel'Koz,21,SUPPORT,51.26%,2.74%
Yasuo,21,ADC,52.30%,1.10%
Gnar,22,TOP,50.51%,4.15%
Maokai,22,SUPPORT,51.45%,2.36%
Shen,22,JUNGLE,53.45%,0.80%
Sylas,22,MID,49.33%,6.71%
Vel'Koz,22,ADC,53.99%,0.51%
Akshan,23,MID,51.38%,2.92%
Nocturne,23,JUNGLE,50.92%,3.71%
Tristana,23,ADC,50.65%,3.79%
Yone,23,TOP,49.85%,5.13%
Zyra,23,SUPPORT,50.86%,2.74%
Draven,24,ADC,50.46%,3.58%
Lux,24,SUPPORT,49.78%,4.91%
Naafiri,24,JUNGLE,50.68%,3.73%
Syndra,24,MID,49.98%,5.15%
Vayne,24,TOP,50.96%,2.75%
Alistar,25,SUPPORT,49.71%,4.77%
